"","State","Rank","Name","Tuition.and.fees.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn","CrimeRate","HappyRank","HappyScore"
"96","IL",96,"Illinois Institute of Technology","$45,214 ","Chicago","60616","web.iit.edu/",41.8313,-87.627321,"0.571","Private nonprofit","City","1275",57277,0,0,1,1,0,1,1,1,1,1,1,0,"$45,214 ","66500",370,25,52.6
"97","OR",97,"University of Oregon","$33,442 ","Eugene","97403","www.uoregon.edu",44.045146,-123.075792,"0.7787","Public","City","1111",24209,0,1,1,1,1,0,1,1,1,1,1,1,"$33,442 ","42300",232.3,32,51.4
"98","AL",98,"University of Alabama at Birmingham","$26,950 ","Birmingham","35294-0110","www.uab.edu",33.505697,-86.799345,"0.5814","Public","City","1125",22684,0,0,0,1,1,1,1,1,1,1,2,1,"$26,950 ","42000",427.4,50,34.15
"99","TN",99,"The University of Tennessee-Chattanooga","$30,858 ","Chattanooga","37403-2598","www.utc.edu",35.048247,-85.299812,"0.7826","Public","City","1088",21495,0,1,0,1,1,1,1,1,1,1,1,1,"$30,858 ","35900",608.4,45,39.96
"100","NY",100,"Rochester Institute of Technology","$38,568 ","Rochester","14623-5603","www.rit.edu/",43.084188,-77.67386,"0.5493","Private nonprofit","Suburb","1254",50713,0,1,0,1,0,1,1,1,1,1,1,0,"$38,568 ","56100",381.8,26,52.54
"101","CA",101,"University of San Francisco","$44,494 ","San Francisco","94117-1080","https://www.usfca.edu",37.775564,-122.450977,"0.7137","Private nonprofit","City","1150",61072,0,1,1,1,0,0,1,1,1,1,1,1,"$44,494 ","62200",396.1,10,59.96
"102","NH",102,"University of New Hampshire-School of Law","$31,424 ","Concord","03301-4197","https://law.unh.edu",43.207371,-71.545152,"NULL","Public","Town","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,"$31,424 ","97700",196.1,11,59.5
"103","NC",103,"University of North Carolina at Asheville","$31,282 ","Asheville","28804-8510","https://www.unca.edu",35.617068,-82.565392,"0.7593","Public","City","1155",18424,0,1,0,1,0,1,1,1,1,1,1,1,"$31,282 ","32200",329.5,30,52.16
"104","IA",104,"Iowa State University","$21,483 ","Ames","50011-2103","www.iastate.edu",42.026212,-93.648504,"0.8749","Public","City","1144",19182,1,1,1,1,1,1,1,1,1,1,1,1,"$21,483 ","47600",273.5,7,60.92
"105","OH",105,"University of Dayton","$40,940 ","Dayton","45469","https://www.udayton.edu",39.739547,-84.176113,"0.6035","Private nonprofit","City","1185",53530,0,1,0,1,1,1,1,1,1,1,1,1,"$40,940 ","50200",284.9,39,46.04
